Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.862,0.138,Strict Comparison,ecmfa_vn
Persona Recall,0.867,0.14,Strict Comparison,ecmfa_vn
Persona F-Measure,0.865,0.139,Strict Comparison,ecmfa_vn
Entity Precision,0.201,0.041,Strict Comparison,ecmfa_vn
Entity Recall,0.425,0.105,Strict Comparison,ecmfa_vn
Entity F-Measure,0.272,0.054,Strict Comparison,ecmfa_vn
Action Precision,0.074,0.016,Strict Comparison,ecmfa_vn
Action Recall,0.111,0.018,Strict Comparison,ecmfa_vn
Action F-Measure,0.088,0.017,Strict Comparison,ecmfa_vn
Persona Precision,0.881,0.11,Inclusion Comparison,ecmfa_vn
Persona Recall,0.886,0.112,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.884,0.111,Inclusion Comparison,ecmfa_vn
Entity Precision,0.27,0.054,Inclusion Comparison,ecmfa_vn
Entity Recall,0.565,0.1,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.364,0.062,Inclusion Comparison,ecmfa_vn
Action Precision,0.074,0.016,Inclusion Comparison,ecmfa_vn
Action Recall,0.111,0.018,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.088,0.017,Inclusion Comparison,ecmfa_vn
Persona Precision,0.923,0.078,Relaxed Comparison,ecmfa_vn
Persona Recall,0.928,0.081,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.925,0.079,Relaxed Comparison,ecmfa_vn
Entity Precision,0.227,0.045,Relaxed Comparison,ecmfa_vn
Entity Recall,0.476,0.096,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.305,0.054,Relaxed Comparison,ecmfa_vn
Action Precision,0.087,0.023,Relaxed Comparison,ecmfa_vn
Action Recall,0.13,0.029,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.104,0.026,Relaxed Comparison,ecmfa_vn
